Bom Retiro;Parque Lage;Pedra Bonita;Pedra da Gávea;Mês
1481;1641;3955;1992;Janeiro
1459;1681;2432;2097;Fevereiro
2259;1447;4880;3037;Março
2887;1558;6587;2955;Abril
2402;1611;5942;2870;Maio
2150;1462;3920;1783;Junho
3144;2208;10294;3706;Julho
1339;1969;4022;1888;Agosto
2721;2288;8016;3051;Setembro
1155;1504;2495;1301;Outubro
2213;2022;5565;2522;Novembro
1962;2269;6274;3065;Dezembro
